SQUADRA,BAUDI
"('Achille_Lauro', 'Aka_7even', 'Iva_Zanicchi', 'Matteo_Romano', 'Rkomi')",99
"('Achille_Lauro', 'Aka_7even', 'Iva_Zanicchi', 'Matteo_Romano', 'Tananai')",99
"('Achille_Lauro', 'Aka_7even', 'Iva_Zanicchi', 'Matteo_Romano', 'Yuman')",97
"('Achille_Lauro', 'Aka_7even', 'Iva_Zanicchi', 'Rkomi', 'Yuman')",99
"('Achille_Lauro', 'Aka_7even', 'Iva_Zanicchi', 'Tananai', 'Yuman')",99
"('Achille_Lauro', 'Aka_7even', 'Matteo_Romano', 'Rkomi', 'Yuman')",99
"('Achille_Lauro', 'Aka_7even', 'Matteo_Romano', 'Tananai', 'Yuman')",99
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Ditonellapiaga_con_Donatella_Rettore', 'Gianni_Morandi')",99
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Ditonellapiaga_con_Donatella_Rettore', 'Giovanni_Truppi')",95
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Ditonellapiaga_con_Donatella_Rettore', 'Giusy_Ferreri')",97
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Ditonellapiaga_con_Donatella_Rettore', 'Highsnob_e_Hu')",94
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Ditonellapiaga_con_Donatella_Rettore', 'Iva_Zanicchi')",93
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Ditonellapiaga_con_Donatella_Rettore', 'La_Rappresentante_di_Lista')",98
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Ditonellapiaga_con_Donatella_Rettore', 'Le_Vibrazioni')",100
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Ditonellapiaga_con_Donatella_Rettore', 'Massimo_Ranieri')",99
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Ditonellapiaga_con_Donatella_Rettore', 'Matteo_Romano')",93
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Ditonellapiaga_con_Donatella_Rettore', 'Rkomi')",95
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Ditonellapiaga_con_Donatella_Rettore', 'Tananai')",95
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Ditonellapiaga_con_Donatella_Rettore', 'Yuman')",93
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Gianni_Morandi', 'Giovanni_Truppi')",100
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Gianni_Morandi', 'Highsnob_e_Hu')",99
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Gianni_Morandi', 'Iva_Zanicchi')",98
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Gianni_Morandi', 'Matteo_Romano')",98
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Gianni_Morandi', 'Rkomi')",100
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Gianni_Morandi', 'Tananai')",100
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Gianni_Morandi', 'Yuman')",98
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Giovanni_Truppi', 'Giusy_Ferreri')",98
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Giovanni_Truppi', 'Highsnob_e_Hu')",95
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Giovanni_Truppi', 'Iva_Zanicchi')",94
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Giovanni_Truppi', 'La_Rappresentante_di_Lista')",99
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Giovanni_Truppi', 'Massimo_Ranieri')",100
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Giovanni_Truppi', 'Matteo_Romano')",94
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Giovanni_Truppi', 'Rkomi')",96
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Giovanni_Truppi', 'Tananai')",96
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Giovanni_Truppi', 'Yuman')",94
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Giusy_Ferreri', 'Highsnob_e_Hu')",97
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Giusy_Ferreri', 'Iva_Zanicchi')",96
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Giusy_Ferreri', 'Matteo_Romano')",96
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Giusy_Ferreri', 'Rkomi')",98
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Giusy_Ferreri', 'Tananai')",98
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Giusy_Ferreri', 'Yuman')",96
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Highsnob_e_Hu', 'Iva_Zanicchi')",93
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Highsnob_e_Hu', 'La_Rappresentante_di_Lista')",98
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Highsnob_e_Hu', 'Le_Vibrazioni')",100
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Highsnob_e_Hu', 'Massimo_Ranieri')",99
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Highsnob_e_Hu', 'Matteo_Romano')",93
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Highsnob_e_Hu', 'Rkomi')",95
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Highsnob_e_Hu', 'Tananai')",95
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Highsnob_e_Hu', 'Yuman')",93
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Iva_Zanicchi', 'La_Rappresentante_di_Lista')",97
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Iva_Zanicchi', 'Le_Vibrazioni')",99
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Iva_Zanicchi', 'Massimo_Ranieri')",98
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Iva_Zanicchi', 'Matteo_Romano')",92
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Iva_Zanicchi', 'Rkomi')",94
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Iva_Zanicchi', 'Tananai')",94
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Iva_Zanicchi', 'Yuman')",92
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'La_Rappresentante_di_Lista', 'Matteo_Romano')",97
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'La_Rappresentante_di_Lista', 'Rkomi')",99
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'La_Rappresentante_di_Lista', 'Tananai')",99
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'La_Rappresentante_di_Lista', 'Yuman')",97
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Le_Vibrazioni', 'Matteo_Romano')",99
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Le_Vibrazioni', 'Yuman')",99
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Massimo_Ranieri', 'Matteo_Romano')",98
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Massimo_Ranieri', 'Rkomi')",100
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Massimo_Ranieri', 'Tananai')",100
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Massimo_Ranieri', 'Yuman')",98
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Matteo_Romano', 'Rkomi')",94
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Matteo_Romano', 'Tananai')",94
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Matteo_Romano', 'Yuman')",92
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Rkomi', 'Tananai')",96
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Rkomi', 'Yuman')",94
"('Achille_Lauro', 'Ana_Mena', 'Dargen_DAmico', 'Tananai', 'Yuman')",94
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Gianni_Morandi', 'Giovanni_Truppi')",100
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Gianni_Morandi', 'Highsnob_e_Hu')",99
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Gianni_Morandi', 'Iva_Zanicchi')",98
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Gianni_Morandi', 'Matteo_Romano')",98
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Gianni_Morandi', 'Rkomi')",100
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Gianni_Morandi', 'Tananai')",100
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Gianni_Morandi', 'Yuman')",98
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Giovanni_Truppi', 'Giusy_Ferreri')",98
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Giovanni_Truppi', 'Highsnob_e_Hu')",95
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Giovanni_Truppi', 'Iva_Zanicchi')",94
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Giovanni_Truppi', 'La_Rappresentante_di_Lista')",99
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Giovanni_Truppi', 'Massimo_Ranieri')",100
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Giovanni_Truppi', 'Matteo_Romano')",94
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Giovanni_Truppi', 'Rkomi')",96
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Giovanni_Truppi', 'Tananai')",96
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Giovanni_Truppi', 'Yuman')",94
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Giusy_Ferreri', 'Highsnob_e_Hu')",97
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Giusy_Ferreri', 'Iva_Zanicchi')",96
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Giusy_Ferreri', 'Matteo_Romano')",96
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Giusy_Ferreri', 'Rkomi')",98
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Giusy_Ferreri', 'Tananai')",98
