SQUADRA,BAUDI
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'La_Rappresentante_di_Lista', 'Yuman')",93
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Le_Vibrazioni', 'Matteo_Romano')",95
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Le_Vibrazioni', 'Rkomi')",97
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Le_Vibrazioni', 'Tananai')",97
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Le_Vibrazioni', 'Yuman')",95
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Massimo_Ranieri', 'Matteo_Romano')",94
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Massimo_Ranieri', 'Rkomi')",96
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Massimo_Ranieri', 'Tananai')",96
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Massimo_Ranieri', 'Yuman')",94
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Matteo_Romano', 'Michele_Bravi')",97
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Matteo_Romano', 'Noemi')",98
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Matteo_Romano', 'Rkomi')",90
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Matteo_Romano', 'Sangiovanni')",100
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Matteo_Romano', 'Tananai')",90
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Matteo_Romano', 'Yuman')",88
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Michele_Bravi', 'Rkomi')",99
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Michele_Bravi', 'Tananai')",99
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Michele_Bravi', 'Yuman')",97
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Noemi', 'Rkomi')",100
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Noemi', 'Tananai')",100
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Noemi', 'Yuman')",98
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Rkomi', 'Tananai')",92
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Rkomi', 'Yuman')",90
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Sangiovanni', 'Yuman')",100
"('Ana_Mena', 'Dargen_DAmico', 'Elisa', 'Tananai', 'Yuman')",90
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Fabrizio_Moro', 'Giovanni_Truppi')",97
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Fabrizio_Moro', 'Giusy_Ferreri')",99
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Fabrizio_Moro', 'Highsnob_e_Hu')",96
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Fabrizio_Moro', 'Iva_Zanicchi')",95
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Fabrizio_Moro', 'La_Rappresentante_di_Lista')",100
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Fabrizio_Moro', 'Matteo_Romano')",95
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Fabrizio_Moro', 'Rkomi')",97
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Fabrizio_Moro', 'Tananai')",97
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Fabrizio_Moro', 'Yuman')",95
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Gianni_Morandi', 'Giovanni_Truppi')",93
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Gianni_Morandi', 'Giusy_Ferreri')",95
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Gianni_Morandi', 'Highsnob_e_Hu')",92
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Gianni_Morandi', 'Iva_Zanicchi')",91
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Gianni_Morandi', 'La_Rappresentante_di_Lista')",96
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Gianni_Morandi', 'Le_Vibrazioni')",98
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Gianni_Morandi', 'Massimo_Ranieri')",97
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Gianni_Morandi', 'Matteo_Romano')",91
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Gianni_Morandi', 'Michele_Bravi')",100
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Gianni_Morandi', 'Rkomi')",93
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Gianni_Morandi', 'Tananai')",93
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Gianni_Morandi', 'Yuman')",91
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giovanni_Truppi', 'Giusy_Ferreri')",91
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giovanni_Truppi', 'Highsnob_e_Hu')",88
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giovanni_Truppi', 'Irama')",98
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giovanni_Truppi', 'Iva_Zanicchi')",87
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giovanni_Truppi', 'La_Rappresentante_di_Lista')",92
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giovanni_Truppi', 'Le_Vibrazioni')",94
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giovanni_Truppi', 'Massimo_Ranieri')",93
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giovanni_Truppi', 'Matteo_Romano')",87
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giovanni_Truppi', 'Michele_Bravi')",96
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giovanni_Truppi', 'Noemi')",97
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giovanni_Truppi', 'Rkomi')",89
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giovanni_Truppi', 'Sangiovanni')",99
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giovanni_Truppi', 'Tananai')",89
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giovanni_Truppi', 'Yuman')",87
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giusy_Ferreri', 'Highsnob_e_Hu')",90
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giusy_Ferreri', 'Irama')",100
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giusy_Ferreri', 'Iva_Zanicchi')",89
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giusy_Ferreri', 'La_Rappresentante_di_Lista')",94
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giusy_Ferreri', 'Le_Vibrazioni')",96
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giusy_Ferreri', 'Massimo_Ranieri')",95
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giusy_Ferreri', 'Matteo_Romano')",89
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giusy_Ferreri', 'Michele_Bravi')",98
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giusy_Ferreri', 'Noemi')",99
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giusy_Ferreri', 'Rkomi')",91
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giusy_Ferreri', 'Tananai')",91
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Giusy_Ferreri', 'Yuman')",89
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Highsnob_e_Hu', 'Irama')",97
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Highsnob_e_Hu', 'Iva_Zanicchi')",86
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Highsnob_e_Hu', 'La_Rappresentante_di_Lista')",91
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Highsnob_e_Hu', 'Le_Vibrazioni')",93
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Highsnob_e_Hu', 'Massimo_Ranieri')",92
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Highsnob_e_Hu', 'Matteo_Romano')",86
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Highsnob_e_Hu', 'Michele_Bravi')",95
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Highsnob_e_Hu', 'Noemi')",96
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Highsnob_e_Hu', 'Rkomi')",88
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Highsnob_e_Hu', 'Sangiovanni')",98
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Highsnob_e_Hu', 'Tananai')",88
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Highsnob_e_Hu', 'Yuman')",86
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Irama', 'Iva_Zanicchi')",96
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Irama', 'Matteo_Romano')",96
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Irama', 'Rkomi')",98
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Irama', 'Tananai')",98
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Irama', 'Yuman')",96
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Iva_Zanicchi', 'La_Rappresentante_di_Lista')",90
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Iva_Zanicchi', 'Le_Vibrazioni')",92
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Iva_Zanicchi', 'Massimo_Ranieri')",91
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Iva_Zanicchi', 'Matteo_Romano')",85
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Iva_Zanicchi', 'Michele_Bravi')",94
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Iva_Zanicchi', 'Noemi')",95
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Iva_Zanicchi', 'Rkomi')",87
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Iva_Zanicchi', 'Sangiovanni')",97
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Iva_Zanicchi', 'Tananai')",87
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Iva_Zanicchi', 'Yuman')",85
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'La_Rappresentante_di_Lista', 'Le_Vibrazioni')",97
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'La_Rappresentante_di_Lista', 'Massimo_Ranieri')",96
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'La_Rappresentante_di_Lista', 'Matteo_Romano')",90
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'La_Rappresentante_di_Lista', 'Michele_Bravi')",99
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'La_Rappresentante_di_Lista', 'Noemi')",100
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'La_Rappresentante_di_Lista', 'Rkomi')",92
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'La_Rappresentante_di_Lista', 'Tananai')",92
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'La_Rappresentante_di_Lista', 'Yuman')",90
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Le_Vibrazioni', 'Massimo_Ranieri')",98
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Le_Vibrazioni', 'Matteo_Romano')",92
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Le_Vibrazioni', 'Rkomi')",94
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Le_Vibrazioni', 'Tananai')",94
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Le_Vibrazioni', 'Yuman')",92
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Massimo_Ranieri', 'Matteo_Romano')",91
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Massimo_Ranieri', 'Michele_Bravi')",100
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Massimo_Ranieri', 'Rkomi')",93
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Massimo_Ranieri', 'Tananai')",93
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Massimo_Ranieri', 'Yuman')",91
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Matteo_Romano', 'Michele_Bravi')",94
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Matteo_Romano', 'Noemi')",95
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Matteo_Romano', 'Rkomi')",87
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Matteo_Romano', 'Sangiovanni')",97
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Matteo_Romano', 'Tananai')",87
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Matteo_Romano', 'Yuman')",85
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Michele_Bravi', 'Rkomi')",96
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Michele_Bravi', 'Tananai')",96
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Michele_Bravi', 'Yuman')",94
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Noemi', 'Rkomi')",97
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Noemi', 'Tananai')",97
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Noemi', 'Yuman')",95
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Rkomi', 'Sangiovanni')",99
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Rkomi', 'Tananai')",89
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Rkomi', 'Yuman')",87
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Sangiovanni', 'Tananai')",99
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Sangiovanni', 'Yuman')",97
"('Ana_Mena', 'Dargen_DAmico', 'Emma', 'Tananai', 'Yuman')",87
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Gianni_Morandi', 'Giovanni_Truppi')",92
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Gianni_Morandi', 'Giusy_Ferreri')",94
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Gianni_Morandi', 'Highsnob_e_Hu')",91
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Gianni_Morandi', 'Iva_Zanicchi')",90
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Gianni_Morandi', 'La_Rappresentante_di_Lista')",95
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Gianni_Morandi', 'Le_Vibrazioni')",97
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Gianni_Morandi', 'Massimo_Ranieri')",96
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Gianni_Morandi', 'Matteo_Romano')",90
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Gianni_Morandi', 'Michele_Bravi')",99
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Gianni_Morandi', 'Noemi')",100
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Gianni_Morandi', 'Rkomi')",92
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Gianni_Morandi', 'Tananai')",92
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Gianni_Morandi', 'Yuman')",90
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giovanni_Truppi', 'Giusy_Ferreri')",90
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giovanni_Truppi', 'Highsnob_e_Hu')",87
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giovanni_Truppi', 'Irama')",97
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giovanni_Truppi', 'Iva_Zanicchi')",86
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giovanni_Truppi', 'La_Rappresentante_di_Lista')",91
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giovanni_Truppi', 'Le_Vibrazioni')",93
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giovanni_Truppi', 'Massimo_Ranieri')",92
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giovanni_Truppi', 'Matteo_Romano')",86
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giovanni_Truppi', 'Michele_Bravi')",95
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giovanni_Truppi', 'Noemi')",96
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giovanni_Truppi', 'Rkomi')",88
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giovanni_Truppi', 'Sangiovanni')",98
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giovanni_Truppi', 'Tananai')",88
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giovanni_Truppi', 'Yuman')",86
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giusy_Ferreri', 'Highsnob_e_Hu')",89
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giusy_Ferreri', 'Irama')",99
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giusy_Ferreri', 'Iva_Zanicchi')",88
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giusy_Ferreri', 'La_Rappresentante_di_Lista')",93
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giusy_Ferreri', 'Le_Vibrazioni')",95
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giusy_Ferreri', 'Massimo_Ranieri')",94
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giusy_Ferreri', 'Matteo_Romano')",88
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giusy_Ferreri', 'Michele_Bravi')",97
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giusy_Ferreri', 'Noemi')",98
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giusy_Ferreri', 'Rkomi')",90
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giusy_Ferreri', 'Sangiovanni')",100
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giusy_Ferreri', 'Tananai')",90
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Giusy_Ferreri', 'Yuman')",88
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Highsnob_e_Hu', 'Irama')",96
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Highsnob_e_Hu', 'Iva_Zanicchi')",85
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Highsnob_e_Hu', 'La_Rappresentante_di_Lista')",90
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Highsnob_e_Hu', 'Le_Vibrazioni')",92
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Highsnob_e_Hu', 'Massimo_Ranieri')",91
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Highsnob_e_Hu', 'Matteo_Romano')",85
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Highsnob_e_Hu', 'Michele_Bravi')",94
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Highsnob_e_Hu', 'Noemi')",95
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Highsnob_e_Hu', 'Rkomi')",87
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Highsnob_e_Hu', 'Sangiovanni')",97
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Highsnob_e_Hu', 'Tananai')",87
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Highsnob_e_Hu', 'Yuman')",85
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Irama', 'Iva_Zanicchi')",95
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Irama', 'La_Rappresentante_di_Lista')",100
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Irama', 'Matteo_Romano')",95
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Irama', 'Rkomi')",97
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Irama', 'Tananai')",97
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Irama', 'Yuman')",95
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Iva_Zanicchi', 'La_Rappresentante_di_Lista')",89
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Iva_Zanicchi', 'Le_Vibrazioni')",91
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Iva_Zanicchi', 'Massimo_Ranieri')",90
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Iva_Zanicchi', 'Matteo_Romano')",84
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Iva_Zanicchi', 'Michele_Bravi')",93
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Iva_Zanicchi', 'Noemi')",94
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Iva_Zanicchi', 'Rkomi')",86
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Iva_Zanicchi', 'Sangiovanni')",96
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Iva_Zanicchi', 'Tananai')",86
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Iva_Zanicchi', 'Yuman')",84
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'La_Rappresentante_di_Lista', 'Le_Vibrazioni')",96
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'La_Rappresentante_di_Lista', 'Massimo_Ranieri')",95
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'La_Rappresentante_di_Lista', 'Matteo_Romano')",89
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'La_Rappresentante_di_Lista', 'Michele_Bravi')",98
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'La_Rappresentante_di_Lista', 'Noemi')",99
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'La_Rappresentante_di_Lista', 'Rkomi')",91
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'La_Rappresentante_di_Lista', 'Tananai')",91
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'La_Rappresentante_di_Lista', 'Yuman')",89
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Le_Vibrazioni', 'Massimo_Ranieri')",97
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Le_Vibrazioni', 'Matteo_Romano')",91
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Le_Vibrazioni', 'Michele_Bravi')",100
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Le_Vibrazioni', 'Rkomi')",93
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Le_Vibrazioni', 'Tananai')",93
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Le_Vibrazioni', 'Yuman')",91
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Massimo_Ranieri', 'Matteo_Romano')",90
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Massimo_Ranieri', 'Michele_Bravi')",99
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Massimo_Ranieri', 'Noemi')",100
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Massimo_Ranieri', 'Rkomi')",92
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Massimo_Ranieri', 'Tananai')",92
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Massimo_Ranieri', 'Yuman')",90
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Matteo_Romano', 'Michele_Bravi')",93
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Matteo_Romano', 'Noemi')",94
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Matteo_Romano', 'Rkomi')",86
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Matteo_Romano', 'Sangiovanni')",96
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Matteo_Romano', 'Tananai')",86
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Matteo_Romano', 'Yuman')",84
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Michele_Bravi', 'Rkomi')",95
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Michele_Bravi', 'Tananai')",95
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Michele_Bravi', 'Yuman')",93
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Noemi', 'Rkomi')",96
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Noemi', 'Tananai')",96
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Noemi', 'Yuman')",94
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Rkomi', 'Sangiovanni')",98
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Rkomi', 'Tananai')",88
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Rkomi', 'Yuman')",86
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Sangiovanni', 'Tananai')",98
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Sangiovanni', 'Yuman')",96
"('Ana_Mena', 'Dargen_DAmico', 'Fabrizio_Moro', 'Tananai', 'Yuman')",86
"('Ana_Mena', 'Dargen_DAmico', 'Gianni_Morandi', 'Giovanni_Truppi', 'Giusy_Ferreri')",86
"('Ana_Mena', 'Dargen_DAmico', 'Gianni_Morandi', 'Giovanni_Truppi', 'Highsnob_e_Hu')",83
"('Ana_Mena', 'Dargen_DAmico', 'Gianni_Morandi', 'Giovanni_Truppi', 'Irama')",93
"('Ana_Mena', 'Dargen_DAmico', 'Gianni_Morandi', 'Giovanni_Truppi', 'Iva_Zanicchi')",82
"('Ana_Mena', 'Dargen_DAmico', 'Gianni_Morandi', 'Giovanni_Truppi', 'La_Rappresentante_di_Lista')",87
"('Ana_Mena', 'Dargen_DAmico', 'Gianni_Morandi', 'Giovanni_Truppi', 'Le_Vibrazioni')",89
"('Ana_Mena', 'Dargen_DAmico', 'Gianni_Morandi', 'Giovanni_Truppi', 'Massimo_Ranieri')",88
